,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,DELIVERED_DATE,delivered_in_days,Dispatch_month,Dispatch_weak,Loading_month,Loading_weak
0,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-19,2021-07-17,2021-07-15,2021-08-03,2021-07-21,64,5,1,5,2
1,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-19,2021-07-23,2021-07-21,2021-08-09,2021-07-27,70,5,1,5,2
2,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-11,2021-04-17,2021-05-05,2021-06-07,2021-06-11,2021-06-16,66,4,6,4,5
3,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-19,2021-05-20,2021-07-15,2021-07-12,2021-07-19,2021-07-20,62,5,2,5,3
4,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-05-18,2021-05-24,2021-06-11,2021-06-22,2021-06-26,2021-06-28,41,5,1,5,0
5,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-05-21,2021-06-05,2021-06-24,2021-07-09,2021-07-13,2021-07-14,54,5,4,6,5
6,"Zhuhai, Guangdong Sheng, China","Zhuhai, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-02,2021-04-02,2021-05-01,2021-06-01,2021-06-05,2021-06-18,77,4,4,4,4
16,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-11,2021-04-21,2021-05-11,2021-06-03,2021-06-07,2021-06-08,58,4,6,4,2
29,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-09,2021-04-13,2021-05-07,2021-05-24,2021-05-28,2021-06-01,53,4,4,4,1
34,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-04,2021-04-11,2021-04-25,2021-05-08,2021-05-12,2021-05-13,39,4,6,4,6
35,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-25,2021-05-02,2021-05-14,2021-06-03,2021-06-07,2021-06-08,44,4,6,5,6
36,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-07,2021-05-09,2021-06-06,2021-06-14,2021-06-18,2021-06-17,41,5,4,5,6
38,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-23,2021-06-08,2021-07-07,2021-07-11,2021-07-13,56,5,1,5,6
40,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-03-25,2021-04-01,2021-05-05,2021-06-04,2021-06-08,2021-06-14,81,3,3,4,3
41,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-06,2021-05-30,2021-06-23,2021-07-08,2021-07-12,2021-07-14,69,5,3,5,6
44,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-07,2021-05-10,2021-06-03,2021-06-11,2021-06-15,2021-06-15,39,5,4,5,0
52,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-11,2021-04-17,2021-05-05,2021-06-01,2021-06-05,2021-06-02,52,4,6,4,5
53,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-21,2021-07-06,2021-07-24,2021-07-28,2021-07-29,72,5,1,5,4
54,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-03-21,2021-03-29,2021-05-16,2021-05-26,2021-05-30,2021-06-01,72,3,6,3,0
59,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-18,2021-04-23,2021-05-13,2021-06-03,2021-06-07,2021-06-05,48,4,6,4,4
61,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-23,2021-05-30,2021-07-07,2021-07-29,2021-08-02,2021-08-02,71,5,6,5,6
71,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-19,2021-07-16,2021-07-15,2021-08-02,2021-07-20,63,5,1,5,2
72,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-03,2021-05-16,2021-06-02,2021-07-13,2021-07-17,2021-07-15,73,5,0,5,6
74,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-22,2021-05-25,2021-07-22,2021-07-20,2021-08-08,2021-07-27,66,5,5,5,1
75,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",2021-05-22,2021-05-27,2021-06-23,2021-07-06,2021-07-10,2021-07-12,51,5,5,5,3
76,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-21,2021-07-17,2021-07-15,2021-08-03,2021-07-22,65,5,1,5,4
79,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-21,2021-07-16,2021-07-13,2021-08-02,2021-07-20,63,5,1,5,4
83,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-19,2021-07-16,2021-07-13,2021-08-02,2021-07-20,63,5,1,5,2
85,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-12,2021-07-05,2021-07-29,2021-08-12,2021-08-12,2021-08-13,62,6,5,7,0
86,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-07-17,2021-07-27,2021-08-16,2021-08-25,2021-08-26,2021-08-27,41,7,5,7,1
90,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-19,2021-07-19,2021-07-16,2021-08-05,2021-07-23,66,5,1,5,2
91,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-30,2021-05-31,2021-07-22,2021-07-19,2021-08-08,2021-07-26,57,5,6,5,0
92,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-03-26,2021-04-01,2021-05-04,2021-06-09,2021-06-13,2021-06-18,84,3,4,4,3
94,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-03,2021-05-16,2021-06-04,2021-07-12,2021-07-16,2021-07-15,73,5,0,5,6
121,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-07-13,2021-07-14,2021-08-30,2021-09-10,2021-09-14,2021-09-02,51,7,1,7,2
152,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-23,2021-04-26,2021-05-14,2021-06-09,2021-06-13,2021-06-18,56,4,4,4,0
154,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-25,2021-05-02,2021-05-14,2021-06-11,2021-06-15,2021-06-16,52,4,6,5,6
156,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-05-21,2021-06-05,2021-06-24,2021-07-07,2021-07-11,2021-07-13,53,5,4,6,5
180,"Dallas, Texas, United States","Savannah, Georgia, United States","Port Muhammad Bin Qasim, Sindh, Pakistan","Port Muhammad Bin Qasim, Sindh, Pakistan",2021-07-16,2021-07-28,2021-09-09,2021-07-08,2021-07-08,2021-07-14,2,7,4,7,2
181,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-04-08,2021-04-18,2021-05-04,2021-05-15,2021-05-19,2021-05-18,40,4,3,4,6
185,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-04-01,2021-04-09,2021-04-27,2021-05-03,2021-05-07,2021-05-06,35,4,3,4,4
191,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-16,2021-04-20,2021-05-11,2021-06-03,2021-06-07,2021-06-09,54,4,4,4,1
192,"Dallas, Texas, United States","Long Beach, California, United States","Karachi, Sindh, Pakistan","Karachi, Sindh, Pakistan",2021-07-15,2021-08-09,2021-09-22,2021-07-04,2021-10-09,2021-07-13,2,7,3,8,0
