country,port_name,locode
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Spain,A Coruna,ESLCG
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Egypt,Abu Qir,EGAKI
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Spain,Agaete,ESAGA
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Japan,Aikakita,JPAKI
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Iceland,Akranes,ISAKR
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Qatar,Al Wakrah,QAWAK
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Portugal,Alges,PTAGS
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Argentina,Alvear,ARAVR
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Canada,Amherstburg,CAAMH
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Italy,Ancona,ITAOI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
Canada,Annacis Island,CAANI
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
China,Aojiang,CNAJG
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
Norway,Ardal,NOAAN
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
United Kingdom (UK),Arinagour,GBAGO
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Iran,Asaluyeh,IRASA
Russia,Astrakhan,RUASF
Russia,Astrakhan,RUASF
Russia,Astrakhan,RUASF
Russia,Astrakhan,RUASF
Russia,Astrakhan,RUASF
Russia,Astrakhan,RUASF
Russia,Astrakhan,RUASF
